recipe,ingredients,steps,category
Shahi Paneer,"paneer, cream, tomato, onion, ginger, garlic, cashew nuts, yogurt, green chili, cumin, coriander powder, turmeric, garam masala, salt"," Sauté onion, ginger, garlic, and cashew nuts.  Add tomato and spices, cook until oil separates.  Add paneer, cream, and yogurt, simmer.",veg
Kadai Paneer,"paneer, tomato, onion, capsicum, garlic, ginger, green chili, cumin, coriander powder, turmeric, garam masala, salt, oil"," Sauté onion, garlic, ginger, and capsicum.  Add tomato and spices, cook until oil separates.  Add paneer, cook until done.",veg
Paneer Tikka Masala,"paneer, yogurt, tomato, onion, ginger, garlic, green chili, cashew nuts, garam masala, turmeric, chili powder, coriander powder, cumin, salt, cream, butter"," Marinate paneer with yogurt and spices.  Grill paneer.  Sauté onion, ginger, garlic, and cashew nuts.  Add tomato and spices, cook until oil separates.  Add grilled paneer, cream, and butter, simmer.",veg
Paneer Bhurji,"paneer, onion, tomato, capsicum, garlic, ginger, green chili, turmeric, chili powder, garam masala, salt, oil"," Sauté onion, garlic, ginger, capsicum, and green chili.  Add tomato and spices, cook until soft.  Add crumbled paneer, cook until combined.",veg
Paneer Pulao,"paneer, rice, onion, tomato, green chili, garlic, ginger, mint leaves, coriander leaves, turmeric, garam masala, salt, oil"," Sauté onion, garlic, ginger, and green chili.  Add tomato and spices, cook until soft.  Add rice, water, and paneer, cook until done.",veg
Paneer Korma,"paneer, yogurt, tomato, onion, ginger, garlic, cashew nuts, coconut, green chili, garam masala, turmeric, chili powder, coriander powder, cumin, salt, oil"," Sauté onion, ginger, garlic, and cashew nuts.  Add tomato, coconut, and spices, cook until oil separates.  Add yogurt and paneer, simmer.",veg
Paneer Pakora,"paneer, chickpea flour, rice flour, baking soda, turmeric, chili powder, garam masala, salt, water, oil"," Make batter with chickpea flour, rice flour, and spices.  Dip paneer in batter.  Fry until golden brown.",veg
Paneer Makhani,"paneer, tomato, cream, butter, onion, ginger, garlic, cashew nuts, yogurt, green chili, garam masala, turmeric, chili powder, coriander powder, cumin, salt"," Sauté onion, ginger, garlic, and cashew nuts.  Add tomato and spices, cook until oil separates.  Add cream, butter, yogurt, and paneer, simmer.",veg
Lemon Rice,"rice, lemon, mustard seeds, urad dal, chana dal, green chili, curry leaves, turmeric, salt, oil"," Cook rice.  Sauté mustard seeds, urad dal, chana dal, green chili, and curry leaves in oil.  Add turmeric, salt, and lemon juice.  Mix with rice.",veg
Vegetable Biryani,"rice, mixed vegetables, yogurt, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, saffron, salt, ghee"," Marinate vegetables with yogurt and spices.  Cook rice with saffron.  Layer rice and vegetables, cook on low heat.",veg
Tomato Rice,"rice, tomato, onion, garlic, ginger, green chili, mustard seeds, urad dal, chana dal, curry leaves, turmeric, salt, oil"," Sauté mustard seeds, urad dal, chana dal, green chili, curry leaves, onion, garlic, and ginger in oil.  Add tomato and spices.  Mix with rice.",veg
Coconut Rice,"rice, coconut, mustard seeds, urad dal, chana dal, green chili, curry leaves, turmeric, salt, oil"," Sauté mustard seeds, urad dal, chana dal, green chili, and curry leaves in oil.  Add coconut, turmeric, and salt.  Mix with rice.",veg
Pulao,"rice, mixed vegetables, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, salt, oil"," Sauté onion, garlic, ginger, and green chili in oil.  Add tomato and spices.  Mix with rice and vegetables.",veg
Curd Rice,"rice, yogurt, mustard seeds, urad dal, chana dal, green chili, curry leaves, ginger, salt, oil"," Cook rice.  Mix with yogurt, salt, and ginger.  Sauté mustard seeds, urad dal, chana dal, green chili, and curry leaves in oil.  Mix with rice.",veg
Tamarind Rice,"rice, tamarind, mustard seeds, urad dal, chana dal, red chili, fenugreek seeds, curry leaves, turmeric, salt, oil"," Cook rice.  Sauté mustard seeds, urad dal, chana dal, red chili, fenugreek seeds, and curry leaves in oil.  Add tamarind paste, turmeric, and salt.  Mix with rice.",veg
Mushroom Biryani,"rice, mushrooms, yogurt, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, saffron, salt, ghee"," Marinate mushrooms with yogurt and spices.  Cook rice with saffron.  Layer rice and mushrooms, cook on low heat.",veg
Pasta with Tomato Sauce,"pasta, tomato sauce, garlic, olive oil, salt, pepper"," Cook pasta.  Prepare sauce with garlic and olive oil.  Mix pasta with sauce.  Add salt and pepper to taste.",veg
Chicken Salad,"chicken breast, lettuce, tomato, cucumber, olive oil, lemon juice, salt, pepper"," Cook and shred chicken breast.  Chop lettuce, tomato, and cucumber.  Mix all ingredients.  Add olive oil, lemon juice, salt, and pepper to taste.",non-veg
Omelette,"egg, milk, cheese, salt, pepper, butter"," Beat eggs with milk, salt, and pepper.  Melt butter in a pan.  Pour the egg mixture into the pan.  Add cheese.  Cook until done.",non-veg
Fruit Smoothie,"banana, strawberries, yogurt, honey, milk"," Combine all ingredients in a blender.  Blend until smooth.",veg
Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, ginger, olive oil"," Chop vegetables.  Stir fry garlic and ginger in olive oil.  Add vegetables and stir fry.  Add soy sauce and cook until vegetables are tender.",veg
Garlic Pasta,"pasta, garlic, olive oil, salt, pepper"," Cook pasta.  Sauté garlic in olive oil.  Mix pasta with garlic and olive oil.  Add salt and pepper to taste.",veg
Greek Salad,"tomato, cucumber, olive oil, lemon juice, salt, pepper, feta cheese, olives"," Chop tomato and cucumber.  Mix all ingredients.  Add olive oil, lemon juice, salt, and pepper to taste.  Add feta cheese and olives.",veg
Cheese Omelette,"egg, milk, cheese, salt, pepper, butter"," Beat eggs with milk, salt, and pepper.  Melt butter in a pan.  Pour the egg mixture into the pan.  Add cheese.  Cook until done.",non-veg
Chole,"chickpeas, onion, tomato, ginger, garlic, cumin, coriander powder, garam masala, salt, turmeric, chili powder"," Soak chickpeas overnight.  Cook chickpeas until tender.  Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add chickpeas and simmer.",veg
Paneer Butter Masala,"paneer, butter, tomato, cream, onion, ginger, garlic, chili powder, turmeric, garam masala, salt"," Sauté onion, ginger, garlic in butter.  Add tomato and spices, cook until oil separates.  Add paneer and cream, simmer.",veg
Baingan Bharta,"eggplant, tomato, onion, garlic, ginger, green chili, cumin, coriander powder, turmeric, salt, garam masala, oil"," Roast eggplant, remove skin, and mash.  Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add mashed eggplant, cook for 10 minutes.",veg
Biryani,"rice, chicken, yogurt, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, saffron, salt, ghee"," Marinate chicken with yogurt and spices.  Cook rice with saffron.  Layer rice and chicken, cook on low heat.",non-veg
Butter Chicken,"chicken, butter, tomato, cream, onion, garlic, ginger, chili powder, turmeric, garam masala, salt"," Marinate chicken with yogurt and spices.  Grill chicken.  Make sauce with butter, onion, garlic, tomato, and spices.  Add chicken and cream, simmer.",non-veg
Dal Makhani,"black lentils, kidney beans, tomato, onion, ginger, garlic, butter, cream, cumin, coriander powder, turmeric, chili powder, salt"," Soak lentils and beans overnight.  Cook lentils and beans until tender.  Sauté onion, ginger, garlic in butter.  Add tomato and spices, cook until oil separates.  Add lentils and beans, simmer with cream.",veg
Masoor Dal,"red lentils, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, salt, ghee"," Cook lentils until tender.  Sauté onion, ginger, garlic in ghee.  Add tomato and spices, cook until oil separates.  Add lentils, simmer.",veg
Palak Paneer,"spinach, paneer, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, salt, cream"," Blanch spinach and puree.  Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add spinach puree and paneer, simmer with cream.",veg
Rogan Josh,"lamb, yogurt, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, garam masala, salt, ghee"," Marinate lamb with yogurt and spices.  Sauté onion, ginger, garlic in ghee.  Add tomato and spices, cook until oil separates.  Add lamb, simmer until tender.",non-veg
Saag,"mustard greens, spinach, onion, garlic, ginger, green chili, cornmeal, ghee, cumin, coriander powder, turmeric, salt"," Cook greens until tender, puree.  Sauté onion, ginger, garlic in ghee.  Add spices and puree, simmer with cornmeal.",vegSamosa,"potato, peas, cumin, coriander powder, garam masala, turmeric, chili powder, salt, flour, oil, water"," Make dough with flour, water, and oil.  Cook filling with potato, peas, and spices.  Fill dough with filling, fry until golden."
Tandoori Chicken,"chicken, yogurt, garlic, ginger, lemon juice, chili powder, turmeric, garam masala, cumin, salt"," Marinate chicken with yogurt and spices.  Grill chicken until cooked.", non-veg
Vegetable Curry,"mixed vegetables, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, garam masala, salt, oil"," Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add vegetables, cook until tender.", veg
Vada Pav,"potato, garlic, green chili, turmeric, salt, flour, water, oil, bread rolls"," Make dough with flour and water.  Cook filling with potato and spices.  Fill dough with filling, fry until golden.  Serve in bread rolls.", veg
Samosa,"potato, peas, cumin, coriander powder, garam masala, turmeric, chili powder, salt, flour, oil, water"," Make dough with flour, water, and oil.  Cook filling with potato, peas, and spices.  Fill dough with filling, fry until golden.", veg
